unique_id,model,ME,MAE,RMSE,MAPE
hotel_0,Naive,-0.16416813639035857,0.22472075249853024,0.2817857045924231,43.978470212793155
hotel_0,SeasonalNaive,-0.07833627278071721,0.2664609053497942,0.3124021391832808,47.60061547110194
hotel_0,AutoETS,-0.0577777301888054,0.20734097094943257,0.24300634275430633,37.49599979577663
hotel_0,NBEATS,-0.09856358008444979,0.17723540460656909,0.22775567984285022,33.60470701615228
hotel_0,NHITS,-0.10387922093701464,0.183235871027947,0.2309757183452833,35.11197928866189
hotel_0,LGBMRegressor,-0.10489294004678447,0.17653063904783248,0.22853243190230835,33.98068946113239
hotel_105,Naive,-0.024707996406109625,0.10002994908655286,0.1342678041547653,12.666390068770262
hotel_105,SeasonalNaive,0.07711889787361484,0.10542078466606768,0.13759690547156408,11.633768536515083
hotel_105,AutoETS,0.05907143463732301,0.09912232035131982,0.11992935456726365,11.02093153058283
hotel_105,NBEATS,0.029865006342481164,0.09059246085242763,0.10909888526557882,10.563875818886473
hotel_105,NHITS,0.01807932955092676,0.091214561558798,0.11172210329108007,10.892826592930627
hotel_105,LGBMRegressor,0.10102304701915439,0.11064063379911625,0.1393237880369295,11.747624302514518
hotel_112,Naive,0.16026785714285713,0.16443452380952378,0.18969449906676386,18.0129818525661
hotel_112,SeasonalNaive,0.05044642857142858,0.12053571428571429,0.14623244705409458,13.772543146037014
hotel_112,AutoETS,0.08495856460727616,0.10990880228473567,0.12909015281635533,12.157944268434816
hotel_112,NBEATS,0.014452776454743896,0.09188134187743777,0.10486699273208443,10.792700128901842
hotel_112,NHITS,0.01618275372754961,0.09394240166459765,0.10921666261540046,11.003464901370855
hotel_112,LGBMRegressor,0.08251125380676456,0.11812343393852795,0.14394001906446893,13.296809261822574
hotel_126,Naive,-0.01565167899829254,0.019540884082716745,0.039550260333565485,2.14762203753074
hotel_126,SeasonalNaive,0.002181749193701387,0.03348510719028647,0.060060590767084004,3.536977166487292
hotel_126,AutoETS,0.03108637847247559,0.044660596811535926,0.05659458133485642,4.604494789886889
hotel_126,NBEATS,-0.0151923903617658,0.025264890655646216,0.04268853829886697,2.7226740339285453
hotel_126,NHITS,-0.022275465748903076,0.025688533433201502,0.04401864417654462,2.7784609556876614
hotel_126,LGBMRegressor,0.041288646927515375,0.05086897373715614,0.06110372430714294,5.200505205133032
hotel_133,Naive,-0.0858704137392662,0.08938329430132709,0.13119632191926542,11.243198602266265
hotel_133,SeasonalNaive,-0.014832162373145982,0.0893832943013271,0.12298984548478578,10.76337846015312
hotel_133,AutoETS,-0.032910402643546936,0.07098197951011737,0.08861999176508827,8.452048430999906
hotel_133,NBEATS,-0.02312989919144693,0.06618092840160829,0.0932071613783149,8.026779416284874
hotel_133,NHITS,-0.02760211303306688,0.06975166531022314,0.10068876257199386,8.546313109587919
hotel_133,LGBMRegressor,0.023153524944565556,0.08477187913241326,0.11102962326845885,9.754729128667782
hotel_14,Naive,-0.04818059299191374,0.15622192273135674,0.20013250200643357,26.35544808932734
hotel_14,SeasonalNaive,-0.01583557951482479,0.13623090745732255,0.174570792040042,22.425911473136033
hotel_14,AutoETS,0.005566133906587036,0.12452046935866794,0.15615620818399728,20.20734261727031
hotel_14,NBEATS,-0.026335874744770456,0.13392002265381575,0.16875686123444875,22.254977098481316
hotel_14,NHITS,-0.03107347507414686,0.14020337951633163,0.1770403555048304,23.485949770074775
hotel_14,LGBMRegressor,0.0019001235434041844,0.11135624886419053,0.14014801542433333,18.107943195714288
hotel_21,Naive,-0.027557319223985882,0.04111552028218694,0.06595433171201728,4.663849181672615
hotel_21,SeasonalNaive,0.02380952380952382,0.06371252204585535,0.0962648122117049,6.741528978835627
hotel_21,AutoETS,-0.01567001981038661,0.040629029398866,0.06132376729481195,4.542131732549215
hotel_21,NBEATS,-0.012662470708658669,0.04254108220601628,0.06250313104010341,4.733341553560762
hotel_21,NHITS,-0.025666763043487726,0.03810054192572464,0.06256799542912836,4.330336653983741
hotel_21,LGBMRegressor,0.04260580545176739,0.06030477914930795,0.06927638439698308,6.312489069824044
hotel_28,Naive,0.014384920634920636,0.014384920634920636,0.08178623414266055,100.0
hotel_28,SeasonalNaive,0.014384920634920636,0.014384920634920636,0.08178623414266055,100.0
hotel_28,AutoETS,0.008959355909036603,0.019844507167843407,0.08230749524087001,54.92766300149774
hotel_28,NBEATS,0.0037859981983072227,0.023087546162839447,0.08092569157175218,53.68251895398763
hotel_28,NHITS,0.01154876963488595,0.016553722033258677,0.08156869566485801,65.83739344481396
hotel_28,LGBMRegressor,-0.0009832075470604027,0.03018190224901113,0.08626147600558066,85.1968037882824
hotel_35,Naive,0.13467261904761904,0.16485305059523808,0.2046698210058834,21.787656945905656
hotel_35,SeasonalNaive,0.06138392857142857,0.17689732142857142,0.20990653278387464,24.94698299747537
hotel_35,AutoETS,0.11121844147329407,0.15067420582488322,0.18709061331831622,20.095667736197743
hotel_35,NBEATS,-0.009291115261259534,0.11803597211837769,0.13853343730555065,17.3180548883161
hotel_35,NHITS,-0.011449338424773444,0.11915452281634013,0.139558350961156,17.596828388874645
hotel_35,LGBMRegressor,-0.008427693185437833,0.10407377348315995,0.12494671429377019,15.455880749439856
hotel_42,Naive,0.02453248505880083,0.2785328706381338,0.3386305216197167,53.258520484029845
hotel_42,SeasonalNaive,0.05537883169462116,0.3108251397725082,0.37621777183787025,57.02343410685871
hotel_42,AutoETS,0.0862498365509915,0.2781215650264504,0.32382982780374786,49.402224967282244
hotel_42,NBEATS,0.011430953531819589,0.2290183213839808,0.2818455058849969,45.40594915319251
hotel_42,NHITS,0.02131412243921219,0.24885564866968266,0.30042703487619216,48.077198594517824
hotel_42,LGBMRegressor,-0.009067269681400232,0.18808055739731888,0.23153320806748034,39.12376726565236
hotel_49,Naive,-0.09643377001455608,0.0967456851736328,0.12434283070691626,16.2593929681648
hotel_49,SeasonalNaive,-0.029475982532751098,0.09539405281763362,0.12229023550166332,15.403906288887198
hotel_49,AutoETS,-0.04966493978963717,0.06619618967541956,0.08953302832354994,11.09388178806818
hotel_49,NBEATS,-0.06335965888394615,0.08447356335857499,0.11356736980113603,13.959832001361349
hotel_49,NHITS,-0.0802139635268505,0.09290990278041147,0.12355801720629489,15.46660366941406
hotel_49,LGBMRegressor,-0.050367997849474225,0.08241932157390865,0.103394557841847,13.372026355624847
hotel_56,Naive,-0.043948412698412695,0.07390873015873019,0.11445248661834174,9.276767007876952
hotel_56,SeasonalNaive,0.0016865079365079357,0.09077380952380955,0.13297633258010624,10.55597408336197
hotel_56,AutoETS,0.0018524618446053337,0.07880853510598912,0.10406093244115759,9.185442763383275
hotel_56,NBEATS,-0.015039504567782094,0.07129049854619163,0.10130753590249188,8.545360271541664
hotel_56,NHITS,-0.035246913206009645,0.07167942751021611,0.10620754133664194,8.844784017856437
hotel_56,LGBMRegressor,0.03950007684133775,0.09031343129643947,0.11737651102583758,10.168838836747783
hotel_63,Naive,-0.07232804232804232,0.16587301587301587,0.21306475598051097,28.0955708409861
hotel_63,SeasonalNaive,0.006825396825396827,0.15105820105820106,0.19026081297716696,23.28219359504269
hotel_63,AutoETS,0.04820501405564698,0.1322696246772762,0.16107687509472327,19.270573272843464
hotel_63,NBEATS,-0.029064984892411203,0.12860118866282166,0.15779715986974127,20.777371424197163
hotel_63,NHITS,-0.023200952924748573,0.14416157037492783,0.17228791775613445,23.030768257356588
hotel_63,LGBMRegressor,-0.016280131438483673,0.12209249269297165,0.14591057251705472,19.12403665037504
hotel_7,Naive,-0.17572126570497906,0.2048433379866605,0.24992205346109195,51.664055334384074
hotel_7,SeasonalNaive,-0.051787653172018,0.15772840080657669,0.19686503638999092,34.49116054976585
hotel_7,AutoETS,-0.05949424040658674,0.14512315928550037,0.17350006079039768,33.43388997663614
hotel_7,NBEATS,-0.057196941765839136,0.15117926730242595,0.18289768576353024,34.65706361126218
hotel_7,NHITS,-0.07305541457858256,0.1522094992756363,0.18400260159809245,36.29092143706493
hotel_7,LGBMRegressor,-0.09415296274931867,0.16487128244505975,0.2062185295991651,38.19440248482108
hotel_70,Naive,0.03529657477025901,0.0746658312447786,0.0939856585883433,17.344963089853373
hotel_70,SeasonalNaive,0.06725146198830412,0.13721804511278193,0.16779915771241227,31.894967374714916
hotel_70,AutoETS,0.09213946800059196,0.09912549435380316,0.12202040669730803,21.22222323102186
hotel_70,NBEATS,0.06459854880570369,0.11709945150335932,0.14175161654909724,26.658160630092603
hotel_70,NHITS,0.061493503376405835,0.10314370825600404,0.12474073292215863,23.356837108217558
hotel_70,LGBMRegressor,0.04801306693389738,0.09969118412131299,0.12550309345321592,22.694085387920516
hotel_84,Naive,0.012151919591365953,0.11340418520349317,0.1485928921979439,14.767020784216905
hotel_84,SeasonalNaive,0.05021420332839017,0.15484429065743943,0.19262032039572347,19.929479941808196
hotel_84,AutoETS,0.09709685232340155,0.13514734631512365,0.16323726181160214,16.263617299496968
hotel_84,NBEATS,0.03920988338569927,0.10983021509943969,0.13667919248925198,14.080408279898716
hotel_84,NHITS,0.052151616388361945,0.1228229366249024,0.1576218065670016,15.392783874729272
hotel_84,LGBMRegressor,0.050470642068552375,0.1135580324611121,0.1358862561139222,14.367310384486004
hotel_91,Naive,-0.13041733547351525,0.13951310861423222,0.21439289696742228,22.709648311837086
hotel_91,SeasonalNaive,0.008694489031567686,0.19997324772605674,0.2625036123909473,26.186119306308424
hotel_91,AutoETS,-0.09815608156676056,0.12864993348659898,0.18689394639883244,20.0524702474734
hotel_91,NBEATS,-0.052304217925742705,0.13614772385362,0.1808406903157846,20.30089215565181
hotel_91,NHITS,-0.09828068571112385,0.1410139358461445,0.19928611568409513,22.03025492745891
hotel_91,LGBMRegressor,0.06107166864599465,0.15346954858859882,0.18469764355008297,19.5676679228836
hotel_98,Naive,-0.10599078341013826,0.17377112135176648,0.20305170168776573,127.42367452627515
hotel_98,SeasonalNaive,-0.047619047619047596,0.14765745007680492,0.2106132371957594,88.01360537803481
hotel_98,AutoETS,-0.01892612248596878,0.12926422961246103,0.1603061101429934,77.89536671203236
hotel_98,NBEATS,-0.038555471300964345,0.11528464889986449,0.14363861578576975,78.24254327168619
hotel_98,NHITS,-0.05688117292299066,0.13082231117695708,0.15432658472675762,95.28401743083607
hotel_98,LGBMRegressor,-0.08836181100232314,0.14526392027118498,0.17584660959472234,107.96697048636304
